subject,predicate,object
Bruce Castle,located in,Tottenham
Bruce Castle,originally named,Lordship House
Bruce Castle,renamed by,Henry Hare
Bruce Castle,features,Tudor Tower
Bruce Castle,has a,resident ghost
Bruce Castle,used as,a school
Bruce Castle Park,located in,Tottenham
Bruce Castle Park,established in,1892
Bruce Castle Park,features,ancient oak tree
Bruce Castle Park,owned by,LB Haringey
Bruce Castle Park,managed by,Parks Service
Bruce Castle Park,contains,Bruce Castle House
Bruce Castle Park,used for,football and tennis
Bruce Castle Park,events include,Tottenham Community Festival
```
