subject,predicate,object
Byzantine Empire,ruled,Eastern and Southern Europe
Constantine I,established,Byzantium as the capital
Justinian I,established,Justinian Code
Byzantine Empire,fought,Muslims for control of the eastern Mediterranean
Constantinople,fell,to the Ottoman Empire
Battle of Manzikert,occurred,1071 between the Byzantine Empire and Seljuk Turkish forces
Macedonian Dynasty,saw,Byzantine Renaissance
Byzantine Renaissance,flourished,art, literature, science, and philosophy
Macedonian Dynasty,oversaw,expansion and cultural flourishing
```
