subject,predicate,object
Lent,invited to go into the desert with Jesus,starting point
Ancient Egypt,preeminent civilization in the Mediterranean world,for almost 30 centuries
Ancient Egypt,source of food for the Romans,essential
Ptolemy I Soter,ruler of Egypt,founded a dynasty
Ptolemy I Soter,appointed satrap of Egypt,Partition of Babylon
Ptolemy I Soter,defended the Nile against Perdiccas,failed
Ptolemy I Soter,joined the coalition against Antigonus,established protectorate over Cyprus
Ptolemy I Soter,invaded Syria in 318,established protectorate over Cyprus
Ptolemy I Soter,defeated Demetrius Poliorcetes in the Battle of Gaza,with Seleucus
Ptolemy I Soter,occupied Syria in 312,again evacuated Syria
Ptolemy I Soter,concluded a peace in 311,with the combatants
Ptolemy I Soter,commanded a fleet that detached Lycia and Caria from Antigonus,in 309
Ptolemy I Soter,attacked Cyprus in 306,defeated Menelaus
Ptolemy I Soter,took possession of Corinth, Sicyon and Megara,in 308
Ptolemy I Soter,was absolutely his own master,after the murder of Alexander IV
Ptolemy I Soter,was a Macedonian general under Alexander the Great,one of the three Diadochi
Ptolemy I Soter,assimilated to some aspects of Egyptian culture,assuming the title pharaoh
Ptolemy I Soter,claimed descent from Heracles,like all Macedonian nobles
Ptolemy I Soter,participated in the Battle of Issus,with Alexander
Ptolemy I Soter,was succeeded by his son Ptolemy II Philadelphus,after his rule in Egypt
Ptolemy I Soter,instigated the resettlement of the empire made at Babylon,after Alexander's death
Ptolemy I Soter,subjugated Cyrenaica,without authorization
Ptolemy I Soter,acquired the body of Alexander the Great,placing it in Memphis,temporarily
Ptolemy I Soter,joined the coalition against Perdiccas,openly
Ptolemy I Soter,executed Cleomenes,for spying on behalf of Perdiccas
Ptolemy I Soter,was offered the regency in place of Perdiccas,but declined
Ptolemy I Soter,was consistent in his policy of securing a power base,never risking all to succeed Alexander
Ptolemy I Soter,established at the same time a protectorate over the petty kings of Cyprus,in 318
Ptolemy I Soter,fought the partisans of Antigonus in Cyprus,re-conquered the island
Ptolemy I Soter,invaded Syria in 312,established protectorate over Cyprus
Ptolemy I Soter,defeated Demetrius Poliorcetes in the Battle of Gaza,with Seleucus
Ptolemy I Soter,occupied Syria in 312,again evacuated Syria
Ptolemy I Soter,concluded a peace in 311,with the combatants
Ptolemy I Soter,personally commanded a fleet that detached Lycia and Caria from Antigonus,in 309
Ptolemy I Soter,attacked Cyprus in 306,defeated Menelaus
Ptolemy I Soter,took possession of Corinth, Sicyon and Megara,in 308
Ptolemy I Soter,was absolutely his own master,after the murder of Alexander IV
Ptolemy I Soter,was a Macedonian general under Alexander the Great,one of the three Diadochi
Ptolemy I Soter,assimilated to some aspects of Egyptian culture,assuming the title pharaoh
Ptolemy I Soter,claimed descent from Heracles,like all Macedonian nobles
Ptolemy I Soter,participated in the Battle of Issus,with Alexander
Ptolemy I Soter,was succeeded by his son Ptolemy II Philadelphus,after his rule in Egypt
Ptolemy I Soter,instigated the resettlement of the empire made at Babylon,after Alexander's death
Ptolemy I Soter,subjugated Cyrenaica,without authorization
Ptolemy I Soter,acquired the body of Alexander the Great,placing it in Memphis,temporarily
Ptolemy I Soter,joined the coalition against Perdiccas,openly
Ptolemy I Soter,executed Cleomenes,for spying on behalf of Perdiccas
Ptolemy I Soter,was offered the regency in place of Perdiccas,but declined
Ptolemy I Soter,was consistent in his policy of securing a power base,never risking all to succeed Alexander
Ptolemy I Soter,established at the same time a protectorate over the petty kings of Cyprus,in 318
Ptolemy I Soter,fought the partisans of Antigonus in Cyprus,re-conquered the island
Ptolemy I Soter,invaded Syria in 312,established protectorate over Cyprus
Ptolemy I Soter,defeated Demetrius Poliorcetes in the Battle of Gaza,with Seleucus
Ptolemy I Soter,occupied Syria in 312,again evacuated Syria
Ptolemy I Soter,concluded a peace in 311,with the combatants
Ptolemy I Soter,personally commanded a fleet that detached Lycia and Caria from Antigonus,in 309
Ptolemy I Soter,attacked Cyprus in 306,defeated Menelaus
Ptolemy I Soter,took possession of Corinth, Sicyon and Megara,in 308
Ptolemy I Soter,was absolutely his own master,after the murder of Alexander IV
Ptolemy I Soter,was a Macedonian general under Alexander the Great,one of the three Diadochi
Ptolemy I Soter,assimilated to some aspects of Egyptian culture,assuming the title pharaoh
Ptolemy I Soter,claimed descent from Heracles,like all Macedonian nobles
Ptolemy I Soter,participated in the Battle of Issus,with Alexander
Ptolemy I Soter,was succeeded by his son Ptolemy II Philadelphus,after his rule in Egypt
Ptolemy I Soter,instigated the resettlement of the empire made at Babylon,after Alexander's death
Ptolemy I Soter,subjugated Cyrenaica,without authorization
Ptolemy I Soter,acquired the body of Alexander the Great,placing it in Memphis,temporarily
Ptolemy I Soter,joined the coalition against Perdiccas,openly
Ptolemy I Soter,executed Cleomenes,for spying on behalf of Perdiccas
Ptolemy I Soter,was offered the regency in place of Perdiccas,but declined
Ptolemy I Soter,was consistent in his policy of securing a power base,never risking all to succeed Alexander
Ptolemy I Soter,established at the same time a protectorate over the petty kings of Cyprus,in 318
Ptolemy I Soter,fought the partisans of Antigonus in Cyprus,re-conquered the island
Ptolemy I Soter,invaded Syria in 312,established protectorate over Cyprus
Ptolemy I Soter,defeated Demetrius Poliorcetes in the Battle of Gaza,with Seleucus
Ptolemy I Soter,occupied Syria in 312,again evacuated Syria
Ptolemy I Soter,concluded a peace in 311,with the combatants
Ptolemy I Soter,personally commanded a fleet that detached Lycia and Caria from Antigonus,in 309
Ptolemy I Soter,attacked Cyprus in 306,defeated Menelaus
Ptolemy I Soter,took possession of Corinth, Sicyon and Megara,in 308
Ptolemy I Soter,was absolutely his own master,after the murder of Alexander IV
Ptolemy I Soter,was a Macedonian general under Alexander the Great,one of the three Diadochi
