subject;predicate;object
Alton Castle;built in;1170
Alton Castle;overlooks;Churnet Valley
Alton Castle;protected by;cliff
Alton Castle;protected by;rock-cut ditch
Alton Castle;protected by;curtain wall
walls;date back to;late 12th and early 13th centuries
Alton Castle;was slighted in;Civil War
new residence;was built in;18th century
new mock castle;was constructed in;19th century
Alton Castle;located on;Castle Hill Rd, Alton, Stoke-on-Trent ST10 4TT
Alton Castle;can be reached via;B5032, 7 miles north of Uttoxeter
