subject;predicate;object
Ancient Egypt;thrived for;almost 30 centuries
Ancient Egypt;captivated historians and archaeologists with;its majestic pyramids
Ancient Egypt;captivated historians and archaeologists with;rich religious traditions
Ancient Egypt;captivated historians and archaeologists with;beautiful art
Predynastic Period;saw;gradual development of Egyptian civilization
Archaic Period;laid;foundations of society and kingship
Old Kingdom;was known for;pyramid builders and prosperity
Old Kingdom;followed by;First Intermediate Period
Middle Kingdom;flourished under;aggressive foreign policy and pyramid-building
Middle Kingdom;was marked by;division and foreign rule
New Kingdom;saw;Egypt reunite
New Kingdom;saw;establish an empire
New Kingdom;feature;powerful rulers like Queen Hatshepsut and Amenhotep IV
Third Intermediate Period;brought;changes in politics and society
Third Intermediate Period;local rulers gaining;power
Late Period to Alexander's conquest;experienced;Persian rule
Late Period to Alexander's conquest;experienced;brief independence
Late Period to Alexander's conquest;experienced;fell to Alexander the Great in 332 B.C.
Late Period to Alexander's conquest;leading to;centuries of Roman rule and the eventual introduction of Christianity and Islam
