subject;predicate;object
Ancient Egypt;centered around;Nile River
Ancient Egypt;had;natural boundaries
Egyptians;worshipped;many gods
Egyptians;given importance to;sun and land deities
mummification process;was used to preserve;the dead
Pyramids;were built during;Old Kingdom
Pyramids;were part of;large complexes
timeline;shows;major periods
Egyptian society;had;simple structure
Pharaoh;was at;top
slaves;were at;bottom
Marriage;was arranged for;young Egyptians
women;had;certain rights
Hieroglyphics;were used for;writing
Egyptians;excelled in;art and technology
Egyptians;left behind;rich cultural legacy
