subject;predicate;object
Ancient Egypt;thrived along;Nile River
Nile River;provided;wealth
Nile River;provided;irrigation
Nile River;provided;food
Nile River;provided;transportation
civilization;divided into;three major kingdoms
civilization;had;rich culture
Pharaohs;buried in;pyramids
Pharaohs;buried with;treasures
empire;conquered by;various civilizations
empire;conquered by;Roman rule
Ancient Egyptians;were pioneers in;makeup
Ancient Egyptians;were pioneers in;writing
Ancient Egyptians;were pioneers in;inventions
Cats;were;sacred
Bible;mentions;Egypt
Recommended books;include;"Sightseers: A guide to Egypt in the time of the Pharaohs"
Recommended books;include;"Mummies, Pyramids, and Pharaohs"
