entity;surface
Alien and Sedition Acts;The Alien and Sedition Acts
laws;series of laws
1798;1798
Federalist-dominated Congress;Federalist-dominated Congress
President John Adams;President John Adams
immigration;restrict immigration
non-citizens;deport non-citizens
criticism of the government;criminalize criticism of the government
freedom of speech;freedom of speech
Thomas Jefferson's party;Thomas Jefferson's party
Sedition Act;Sedition Act
individuals critical of the government;individuals critical of the government
newspaper owners;newspaper owners
1800 election;1800 election
Democratic-Republicans;Democratic-Republicans
Alien Enemies Act;Alien Enemies Act
World War II;World War II
21st century;21st century
Virginia and Kentucky Resolutions;Virginia and Kentucky Resolutions
federal legislation;federal legislation
