subject;predicate;object
Bramshill House;located in;Hampshire, England
Bramshill House;is;significant Jacobean mansion
Bramshill House;showcases;Italian Renaissance influences
Bramshill House;was designated as;Grade I listed building
Bramshill House;features;elaborate architecture
Bramshill House;includes;formal gardens and woodland
Bramshill House;served as;Red Cross maternity home during World War II
Bramshill House;sold to;developers in 2014
Bramshill House;known for;ghostly legends
ghostly legends;include;tale of a bride who was locked in a chest on her wedding night
