entity;surface
Martin Miller;Photographer Martin Miller
Manhattan Project;Manhattan Project, The Manhattan Project
uranium production plant;uranium production plant
Oak Ridge;Oak Ridge
Tennessee;Tennessee
plutonium reactor;plutonium reactor
Hanford;Hanford
Washington;Washington
atomic bomb;'The Gadget', atomic bomb, atomic bomb, atomic bombs
Hiroshima;Hiroshima
Nagasaki;Nagasaki
Albert Einstein;Albert Einstein
President Roosevelt;President Roosevelt
Nazi Germany;Nazi Germany
nuclear weapons;nuclear weapons, nuclear weapons
World War 2;World War II
British scientists;British scientists
Los Alamos;Los Alamos
New Mexico;New Mexico
American;American
Canadian;Canadian
nuclear programs;nuclear programs
Los Alamos Historical Society;The Los Alamos Historical Society
WGN;WGN
British Mission;British Mission
Professor James Chadwick;Professor James Chadwick
Thin Man bomb;Thin Man bomb
implosion bomb;implosion bomb
Minsk;Minsk
Schrödinger's cat;Schrödinger's cat
Virginia Woolf;Virginia Woolf
UK;UK
uranium fission;uranium fission
Frisch-Peierls memorandum;Frisch-Peierls memorandum, The Frisch–Peierls memorandum
United States;United States, U.S.
British contribution;British contribution
nuclear weapons program;nuclear weapons program
postwar cooperation;postwar cooperation
British;British
James B. Conant;James B. Conant, Conant
Quebec Agreement;Quebec Agreement
Klaus Fuchs;Klaus Fuchs
Mark Oliphant;Mark Oliphant
Australia;Australia
nuclear physics;nuclear physics
global discussions;global discussions
nuclear disarmament;nuclear disarmament
scientific institutions;scientific institutions
2000;2000
scientific community;scientific community
1940;
critical mass;
bomb development efforts;
MAUD Committee;MAUD Committee
atomic bombings;atomic bombings
weapon;
defense strategy;
deterrence policies;
Cold War;
destructive power;
radioactive aftermath;
potential atomic bomb explosion
British;British
Conant;Conant
US;US
Quebec Agreement;Quebec Agreement
Klaus Fuchs;Klaus Fuchs
Los Alamos;Los Alamos
Thin Man project;Thin Man project
plutonium;plutonium
Charlie Isaacs;Charlie Isaacs
Nazis;Nazis
women;women
University of Birmingham;University of Birmingham, Birmingham
Rudolf Peierls;Rudolf Peierls
Otto Frisch;Otto Frisch
MAUD Committee;MAUD Committee
Britain;Britain, British
Prime Minister Attlee;Prime Minister Attlee
William Penney;William Penney
atomic bomb program;atomic bomb program
British nuclear test;British nuclear test
Hurricane;Hurricane
1952;1952
nuclear science;nuclear science
nuclear chain reactions;nuclear chain reactions
top-secret nature;top-secret nature
safety measures;safety measures
employees;employees
British experts;British experts
security measures;security measures
punishments;punishments
completion;completion
construction sites;construction sites
testing sites;testing sites
tragic events;tragic events
experiments;experiments
Tickling the dragon's tail;Tickling the dragon's tail
casualties;casualties
atomic test;atomic test
significant milestone;significant milestone
nuclear history;nuclear history
Rudolf Peierls;Rudolf Peierls, Peierls
Germany;Germany, German
theoretical physics;theoretical physics
education;education
universities;universities
England;England
honors;honors
work;work
professor;professor
Oxford;Oxford
scientific papers;scientific papers
books;books
thinking;thinking
Otto Robert Frisch;Otto Robert Frisch, Frisch
Austrian-British physicist;Austrian-British physicist
nuclear fission;nuclear fission
atomic physics;atomic physics
uranium-235;uranium-235
fissile isotope;fissile isotope
Klaus Fuchs;Klaus Fuchs
Winston Churchill;Winston Churchill
over 130,000 people;over 130,000 people
$2 billion;$2 billion
plutonium;plutonium
isotope separation methods;isotope separation methods
timeline;timeline
Atomic Energy Commission;Atomic Energy Commission
U.S. government research project;U.S. government research project
1942 to 1945;1942 to 1945
American scientists;American scientists
Europe;Europe
fission process;fission process
military use;military use
research;research
development;development
production;production
fissionable materials;fissionable materials
plutonium-239;plutonium-239
nuclear explosion;nuclear explosion
July 1945;July 1945
New Mexico;New Mexico
