subject;predicate;object
protectorate;have;local rulers
protectorate;have;limited immigration
protectorate;may have;favorable terms
protectorate;seen in;microstates
protectorate;rely on;protecting power
British protectorates;include;Zanzibar
British protectorates;include;Solomon Islands
France;had protectorates in;various regions
Italy;had protectorates in;various regions
United States;uses the term for;insular areas
Joint protectorates;have existed in;historically
Joint protectorates;include;Bosnia and Herzegovina
