subject;predicate;object
British Empire;evolved into;Commonwealth of Nations
British Empire;had;global reach
British Empire;had;significant maritime power
British Empire;had;diverse governance structures
British Empire;had;impact on global trade and communication
British Empire;transformed;former colonies into self-governing entities
Commonwealth of Nations;comprised of;former colonies
Commonwealth of Nations;transitioned from;dominion status to independent nations
Commonwealth of Nations;has;former colonies
Commonwealth of Nations;has;maritime power
Commonwealth of Nations;has;global trade
Commonwealth of Nations;has;communication
