entity;surface
Bruce Castle Museum;Bruce Castle Museum
London;London
Grade I;Grade I
16th-century manor house;16th-century manor house
museum;museum
1906;1906
Borough of Haringey;Borough of Haringey
local history collections;local history collections
archives;archives
art exhibitions;art exhibitions
free admission;free admission
historical events;historical events
arts events;arts events
Opening times;Opening times
Wednesday to Sunday;Wednesday to Sunday
13:00 to 17:00;13:00 to 17:00
specific holidays;specific holidays
Archives visits;Archives visits
appointments;appointments
