subject;predicate;object
Miss Edna Hilton;inherits;The Mistletoe Bride
Miss Edna Hilton;marrying;Captain Denzil Cope
Captain Denzil Cope;heir of;ancient Cope family
Bramshill House;haunts;the newlywed couple
Visitors;report;eerie encounters
eerie encounters;add to;mystery
the lost bride;locked in;chest
Bramshill House;resides;newlywed couple
Bride;disappearance during;game of hide-and-seek
a heartbreaking discovery;happens fifty years later
tale;captivates;imaginations
tale;inspiring;poems and ballads
chilling events;continue to intrigue and terrify;those who dare to explore
