subject;predicate;object
California Gold Rush;began in;1848
California Gold Rush;discovered by;James W. Marshall
gold;discovered at;Sutter's Lumber Mill
Sutter's Lumber Mill;located in;Coloma
California Gold Rush;attracted;300,000 prospectors
prospectors;known as;"forty-niners"
rush;peaked in;1849
take;reached;$80 million
discovery;predated;formal cession
formal cession;under;1848 Treaty of Guadalupe Hidalgo
rush;led to;significant gold strikes
significant gold strikes;at;locations like Mormon Island, Bidwell's Bar, Weber's Creek, and Rich Bar
locations;shown on;California Gold Rush Map
California Gold Rush;sparked by;discovery of gold in Northern California
California Gold Rush;led to;wave of immigration by the "49ers"
California Gold Rush;had significant impact on;California's development
California Gold Rush;led to;building of the Panama Railway
California Gold Rush;led to;growth of San Francisco
California Gold Rush;brought challenges such as;strained infrastructure
California Gold Rush;brought challenges such as;crime
California Gold Rush;brought challenges such as;rise of vigilantes
California Gold Rush;is said to have ended in;1858
San Francisco 49ers;named after;prospectors of the Gold Rush
Gold Rush of 1849;sparked by;discovery of gold nuggets in the Sacramento Valley
Gold Rush of 1849;led to;massive influx of prospectors to the California territory
population;surged from;less than 1,000 to around 100,000
James Wilson Marshall;finding at;Sutter's Mill in 1848
$2 billion worth of precious metal;extracted during;peak of the Gold Rush in 1852
California Gold Rush;began with;discovery of gold by James W. Marshall
California Gold Rush;led to;massive influx of immigrants known as "'49ers"
California;incorporated as;31st state in 1850
California Gold Rush;attracted;fortune-seekers from around the world
California Gold Rush;transformed;California into one of the most ethnically diverse states
foreign laborers;led to;ethnic tensions
foreign laborers;led to;enactment of the Foreign Miners Tax in 1850
Gold Rush;transformed;California into one of the most ethnically diverse states
Gold Country;is rich in;history and natural beauty
Gold Country;features;rolling hills, rivers, and lakes
region;offers;a glimpse into the California Gold Rush era
Visitors;can explore;abandoned mines
Visitors;can enjoy;outdoor activities like rafting and hiking
Visitors;can visit;attractions such as Folsom Lake and Nevada City
area's history;includes;Native American tribes
area's history;includes;the Gold Rush
area's history;includes;the impact on the environment and indigenous populations
climate;is similar to;that of Italy or Spain
climate;has;hot, dry summers and cool, wet winters
Stephen Hill;escaped from;owner
California;admission to;Union
California;denied civil rights to;African Americans
California;denied civil rights to;Native Americans
California;based decision on;economic interests
California;based decision on;commitment to racial equality
California Gold Rush;started in;1848
California Gold Rush;discovered by;James W. Marshall
James W. Marshall;discovered;gold
James W. Marshall;discovered at;Sutter's Mill
Sutter's Mill;located in;Coloma
"forty-niners";participated in;California Gold Rush
James W. Marshall;discovered;gold nuggets
California Gold Rush;occurred in;1849
California Gold Rush;circulated in;California
Rumors;mentioned;gold
Gold Rush;sparked;frenzy
John Sutter;established;Sutter's Fort
John Sutter;developed;various businesses
John Sutter;hired;James Marshall
James Marshall;build;sawmill
gold;found in;January 1848
news;reached;President James Polk
Gold Rush;made;a national sensation
James W. Marshall;discovered;gold
California Gold Rush;attracted;over 300,000 gold-seekers
"forty-niners";came in search of;wealth
California Gold Rush;led to;population growth
California Gold Rush;led to;advancements in agriculture
California Gold Rush;led to;establishment of a government
California;became;a state in 1850
gold rush;caused;displacement of Native Americans
gold rush;caused;racial tensions
gold rush;caused;environmental issues
California Gold Rush;brought changes;region
California Gold Rush;turned into;multicultural frontier
California Gold Rush;brought immigrants;world
immigrants;seeking;fortune
influx;led to;decline
gold seekers;faced;violence
gold seekers;faced;oppression
native population;faced;violence
native population;faced;oppression
Elite Californios;saw;loss
Elite Californios;saw;loss of power
Elite Californios;saw;loss of land
arrival;added to;population
Chinese;faced;discrimination
Chinese;faced;challenges
African American immigrants;faced;discrimination
African American immigrants;faced;challenges
groups;facing;discrimination
groups;facing;challenges
groups;pursuing;wealth
groups;pursuing;equality
instances;occurred in;landscape
instances;occurred in;California
instances;occurred in;diverse landscape
instances;occurred in;Gold Rush California
instances;of cooperation;cross-cultural cooperation
instances;of communication;cross-cultural communication
California Gold Rush;followed by;discovery of gold by James W. Marshall
James W. Marshall;made;discovery of gold in California
Marshall;changed demographic landscape of;California
San Francisco;named for;prospectors of gold rush
gold rush;altered;region's population and economy
