subject;predicate;object
Bruce Castle;located_in;Tottenham
Bruce Castle;has_name;Lordship House
Bruce Castle;has_feature;Tudor Tower
Bruce Castle;has_owner;Hugh Hare
Hugh Hare;renamed;Bruce Castle
Bruce Castle;converted_into;progressive school
progressive school;established_by;Sir Rowland Hill
Sir Rowland Hill;introduced;world's first postage stamp
Bruce Castle;serves_as;museum
museum;located_in;Tottenham
Tottenham;located_in;London
Bruce Castle;has_resident;ghost
Bruce Castle Park;located_on;site of one of the four manors of Tottenham
Bruce Castle Park;has;rich history dating back to the Scottish royal family of de Brus
present house;likely_built_in;1620s
park;opened_in;1892
park;features;historical buildings
park;offers;various recreational activities
The Bruce Castle Museum;houses;local history collection
The Bruce Castle Museum;has_won;Green Flag Award
Bruce Castle Museum;is located in;Wood Green Library
Bruce Castle Museum;offers;free entry
Bruce Castle Museum;offers;various activities
Bruce Castle Museum;offers;exhibitions
Bruce Castle Museum;offers;tours
Bruce Castle Museum;provides;disabled access
Bruce Castle Museum;provides;range of services
Bruce Castle Museum;provides;archive resources
Bruce Castle Museum;provides;local history resources
Bruce Castle Museum;provides;collections
Bruce Castle Museum;provides;rooms for hire
Bruce Castle Museum;can be reached by;bicycle
Bruce Castle Museum;can be reached by;foot
Bruce Castle Museum;can be reached by;train
Bruce Castle Museum;can be reached by;underground
Bruce Castle Museum;can be reached by;bus
Bruce Castle Museum;can be reached by;car
Bruce Castle Museum;has;parking available
Bruce Castle Museum;has;standard opening hours
Bruce Castle Museum;has;opening hours on Wednesday to Sunday
Bruce Castle Museum;has;opening hours from 1pm to 5pm
Bruce Castle Museum;is operated by;Haringey Council
Bruce Castle Museum;showcases;social history
Bruce Castle Museum;showcases;local landscape
Bruce Castle Museum;features;works by local artists
Bruce Castle Museum;has;rich history
Bruce Castle Museum;has connections to;Bruce family
Bruce Castle Museum;has connections to;notable renovations
Bruce Castle Museum;features;exhibits on Post Office
Bruce Castle Museum;features;exhibits on Rowland Hill
Bruce Castle Museum;features;exhibits on Tottenham Hotspur Football Club
Bruce Castle Museum;offers;free entry
Bruce Castle Museum;offers;glimpse into social history
Bruce Castle Museum;offers;glimpse into various collections
Bruce Castle Museum;offers;glimpse into artworks
Haringey Council;operates;Bruce Castle Museum
Bruce Castle Museum;offers;valuable resources
Bruce Castle Museum;houses;archives
Bruce Castle Museum;located in;16th Century manor house
Bruce Castle Museum;organizes;exhibitions
Bruce Castle Museum;organizes;workshops
Bruce Castle Museum;collaborates with;Friends of Bruce Castle
Bruce Castle Museum;collaborates with;Haringey Local History Forum
Tottenham Civic Society;aims to educate;public
museum's staff;supporting;projects like 'Summerhill Road' website
contact information;provided;for joining groups
contact information;provided;for getting on museum's mailing list
Bruce Castle Museum;is listed as;Grade I
Bruce Castle Museum;dates back to;16th century
Bruce Castle Museum;was originally owned by;Sir William Compton
Bruce Castle Museum;was modified by;various owners
Rowland Hill;invented;the penny post
Bruce Castle Museum;was saved from development in;19th century
Bruce Castle Museum;opened as;a museum
Bruce Castle Museum;showcases;history of London Borough of Haringey
Park;is located in;Haringey
Park;is Haringey's oldest
Park;offers;recreational activities
Park;offers;a glimpse into the estate's past
Park;features;Great Oak tree
Museum;hosts;educational programs
Museum;hosts;family activities
Museum;hosts;exhibitions
Museum;hosts;local history talks
Museum;is;a vibrant hub for the community
Sir William Compton;was close friend of;King Henry VIII
Sir William Compton;held various important positions at;court
Sir William Compton;was involved in;scandal with Anne Stafford
Sir William Compton;was accused of;adultery
Compton's will;suggested;guilt
Compton;protested of;innocence
Sir William Compton;was known for involvement in;arranging marriages
Sir William Compton;was known for involvement in;conflicts at court
Sir William Compton;was involved in;arranging marriages with Cardinal Wolsey
Sir William Compton;was involved in;conflicts at court with Cardinal Wolsey
Sir William Compton;passed away in;1528
Sir William Compton;passed away due to;sweating sickness
Compton;left behind;legacy
legacy;included;properties and estates
properties and estates;were for;descendants
