entity;surface
Capon Bridge United Methodist Charge;Capon Bridge United Methodist Charge
food pantry;food pantry
clothing closet;clothing closet
Amazing Grace Baptist church;Amazing Grace Baptist church
Bible study;Bible study
parsonage;parsonage
worship services;worship services
Heather Rogers;Heather Rogers
Certified Lay Minister;Certified Lay Minister
Louise Link;Louise Link
Jane Arnold;Jane Arnold
Kenya;Kenya
Contact information;Contact information
details;details
joining groups;joining groups
events;events
