subject;predicate;object
Borobudur Temple Compounds;located in;Indonesia
Buddha statue;dating back to;8th and 9th centuries
Buddha statue;seated in;circular platform
Buddha statue;displaying;mudras
Borobudur Temple Compounds;symbolize;stages of Buddhist cosmology
Buddha statue;represents;world of formlessness
Buddha statue;conveys;messages of wisdom
Buddha statue;conveys;messages of method
Buddha statue;conveys;messages of faith
Buddha statue;reflecting;importance of wisdom in Buddhist culture
Buddha statue;reflecting;importance of method in Buddhist culture
Buddha statue;reflecting;importance of faith in Buddhist culture
