entity;surface
1833;1833
President Andrew Jackson;President Andrew Jackson, Andrew Jackson
South Carolina;South Carolina
Buenos Aires;Buenos Aires
Kirtland Temple;Kirtland Temple
Otto;Otto
King of Greece;King of Greece
grave;grave
Vietnam;Vietnam
British;British
Falkland Islands;Falkland Islands
Sumatra;Sumatra
train ride;train ride
U.S. President;U.S. President
Admiral Charles Napier;Admiral Charles Napier, Charles Napier
naval battle;naval battle
Convention of 1833;Convention of 1833
Mexican Texas;Mexican Texas
Chilean Constitution;Chilean Constitution
Slavery Abolition Act;Slavery Abolition Act
British Empire;British Empire
UK;UK
Oberlin College;Oberlin College
Ohio;Ohio
Mexico;Mexico
Texas;Texas
1823-1833;1823 to 1833
Federalists;Federalists
Mexico City;Mexico City
Texas colonists;Texas colonists
Centralists;Centralists
Fredonian Rebellion;Fredonian Rebellion
Mier y Teran investigation;Mier y Teran investigation
Law of April 6, 1830;Law of April 6, 1830
Anahuac;Anahuac
Turtle Bayou Resolutions;Turtle Bayou Resolutions
Battle of Velasco;Battle of Velasco
Conventions of 1832 and 1833;Conventions of 1832 and 1833
Stephen F. Austin;Stephen F. Austin
imprisonment;imprisonment
reforms;reforms
David Crockett;David Crockett
Sam Houston;Sam Houston
Antonio López de Santa Anna;Antonio López de Santa Anna
Spain;Spain
George Fisher;George Fisher
Texas Revolution;Texas Revolution
Alamo;Alamo
Cherokee Indians;Cherokee Indians
Republic of Texas;Republic of Texas
secession;secession
Huntsville, Texas;Huntsville, Texas
San Felipe;San Felipe
quarter;quarter
delegates;delegates
constitution;constitution
Mexican congress;Mexican congress
San Felipe de Austin;San Felipe de Austin
"Birthplace of Anglo-American Settlement in Texas";Birthplace of Anglo-American Settlement in Texas
1824;1824
Conventions of 1832;Conventions of 1832
Conventions of 1833;Conventions of 1833
Consultation of 1835;Consultation of 1835
Texas Declaration of Independence;Texas Declaration of Independence
War for Independence;War for Independence
Stephen F. Austin State Park;Stephen F. Austin State Park
Austin colony;Austin colony
Austin's cabin;Austin's cabin
museum;museum
Convention of 1833;Convention of 1833
statehood;statehood
Massachusetts constitution of 1780;Massachusetts constitution of 1780
April 13;April 13
Long Expedition;The Long Expedition
June 1819;June 1819
Republic of Texas;Republic of Texas
Spanish troops;Spanish troops
Mexican;Mexican
Law of April 6, 1830;the Law of April 6, 1830
Battle of Velasco;the Battle of Velasco
Convention of 1836;the Convention of 1836
Declaration of Independence;the Declaration of Independence
Battle of the Alamo;the Battle of the Alamo
Massacre at Goliad;the Massacre at Goliad
Battle of San Jacinto;the Battle of San Jacinto
Convention;Convention of 1832, Convention of 1833
State of Coahuila y Tejas;Coahuila y Tejas
Estados Unidos Mexicanos;Mexico
Mexican Constitution of 1824;Constitution of 1824
U.S.;United States
Spanish;Spain
Texas
state constitution of 1827;constitution of 1827
Catholicism
homestead exemption
bankruptcy
frontier families
political unrest
Texas Gazette;Texas Gazette
Runaway Scrape;Runaway Scrape
Anglo colonies;Anglo colonies
1820s;1820s
provisional state government;provisional state government
Texian Consultations;Texian Consultations
laws restricting immigration;laws restricting immigration
tariffs;tariffs
memorials;memorials
figures;figures
response;response
calls for action;calls for action
preparation;preparation
conflict;conflict
James "Jim" Bowie;James Bowie, Jim Bowie
Bowie knife;Bowie knife
Kentucky;Kentucky
American;American
