entity;surface
Capon Chapel;Capon Chapel
Hampshire County;Hampshire County
West Virginia;West Virginia, WV
church;church
WV 26711;WV 26711
ZIP Code;ZIP Code
local area photos;local area photos
hotels;hotels
driving directions;driving directions
interactive map;interactive map
Latitude;Latitude
39.2698239;39.2698239
Longitude;-78.4444521
GNIS ID;GNIS ID
1537028;1537028
Capon Bridge;Capon Bridge
Lake Holiday;Lake Holiday
Shawnee Land;Shawnee Land
Wardensville;Wardensville
Winchester;Winchester
Romney;Romney
Stephens City;Stephens City
Paw Paw;Paw Paw
Springfield;Springfield
Middletown;Middletown
Bubbling Spring;Bubbling Spring
Hooks Mills;Hooks Mills
High View;High View
Finger Lake Estates;Finger Lake Estates
Loom;Loom
The Knolls;The Knolls
Cold Stream;Cold Stream
Rock Enon;Rock Enon
Lehew;Lehew
Rock Enon Springs;Rock Enon Springs
