entity;surface
Spring Meeting;Spring Meeting
West Virginia Archives and History Commission;West Virginia Archives and History Commission
September 27, 2012;September 27, 2012
Bavarian Inn;Bavarian Inn
Shepherdstown;Shepherdstown
West Virginia;West Virginia
Robert Conte;Robert Conte
Archives and History;Archives and History
Historic Preservation;Historic Preservation
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
West Virginia;West Virginia
National Register;National Register
