subject;predicate;object
Old Pine Church;located in;Lewisburg, West Virginia
Old Pine Church;is a;historic Presbyterian church
Capon Chapel;located near;Capon Bridge
Capon Chapel;located in;Hampshire County
Capon Chapel;built in;mid-19th-century
Capon Chapel;featured in;October 2 Wikipedia article
Capon Chapel;has surface;869 feet
Capon Chapel;has latitude;39.2698239
Capon Chapel;has longitude;-78.4444521
Capon Chapel;associated with;Capon Chapel United Methodist Church
Capon Chapel;associated with;Capone Chapel Cemetery
Capon Chapel;associated with;Capon Bridge United Methodist Charge
Capon Chapel;associated with;Amazing Grace Baptist church
Capon Chapel;associated with;Pastor Alannah Mc Guinn
Capon Chapel;has phone number;(304) 856-2483
Capon Chapel;has address;1999 Fried Meat Ridge Road, Keyser, WV 26726
Capon Chapel;part of;National Register of Historic Places
Capon Chapel;denomination;Baptist, Methodist, Christian and Missionary Alliance, Foursquare, Assemblies of God
Capon Chapel;has ZIP Code;WV 26711
Capon Chapel;is located in;West Virginia
Capon Chapel;is experiencing;fair weather
Capon Chapel;has temperature;63°F
Capon Chapel;sits at elevation;869 feet
Capon Chapel;is known as;Capon Baptist Chapel, Capon Chapel Church
Capon Chapel;is classified as;a place of worship
Capon Chapel;has coordinates;Latitude: 39.2698239, Longitude: -78.4444521
Capon Chapel;is situated in;Hampshire County
Capon Chapel United Methodist Church;located in;Capon Bridge, West Virginia
Capon Chapel United Methodist Church;contact number;304-856-2483
Built in Virginia in 1852;includes;Chain Bridge, houses
William C. Nixon;born in;1789
William C. Nixon;served in;War of 1812
William C. Nixon;married;Mary Ann Caudy
William C. Nixon;had children;Lemuel Nixon
Mary Ann Caudy;is married to;William C. Nixon
Lemuel Nixon;is child of;William C. Nixon
William C. Nixon;died in;1869
William C. Nixon;buried in;Capone Chapel Cemetery
Capone Chapel Cemetery;is located in;Capon Chapel, Capon Bridge
Capone Chapel Cemetery;is associated with;William C. Nixon, Mary Ann Caudy, Lemuel Nixon, Chapon Chapel, War of 1812, Virginia House of Delegates, Hampshire County, 1869, Capone Bridge, United Methodist Church, Baptist, Methodist, Christian and Missionary Alliance, Foursquare, Assemblies of God, Brethren denomination, National Register of Historic Places, Civil War veterans, African Americans, rural religious architecture, community events, historical significance, gravestones, cemetery, pews, 1857, 1834, ZIP Code, WV 26711, business name
Capon Bridge United Methodist Charge;provides information;upcoming events, food pantry, clothing closet
Heather Rogers;is;Certified Lay Minister
Louise Link;was honored for;50 years of service
Jane Arnold;participated in;mission team in Kenya
Pastor Alannah Mc Guinn;contact information is provided;304-856-2483, Capon Bridge
John Wesley;quote by;John Wesley
cookbooks;available for;gift ideas
Capon Chapel;has Pastor;Chris Leatherman
Capon Chapel;has contact number;304.492.5838
Capon Chapel;has mailing address;1999 Fried Meat Ridge Road, Keyser, WV 26726
Chris Leatherman;is member of;Capon Chapel
Chris Leatherman;leads;Sunday School, Worship Service
West Virginia Archives and History Commission;held;spring meeting
cemetery;contains;gravestones dating back to 1834
Capon Chapel;located_in;Hampshire County, WV 26711
Capon Chapel;used_by;Baptists, Methodist church, United Methodist Church
Capon Chapel;cemetery_contains;Civil War veterans, African Americans
Capon Chapel;added_to;National Register of Historic Places in 2012
Capon Chapel;recognized_for;rural religious architecture, significance as a rural church in Hampshire County
Capon Bridge Foursquare Church;denomination;Foursquare
Bethel United Methodist Church;denomination;Methodist
Mountain View Assembly of God;denomination;Assemblies of God
Amazing Grace Baptist Church;denomination;Baptist
Capon Chapel United Methodist Church;location;Capon Bridge, WV
Capon Chapel United Methodist Church;denomination;United Methodist Church
Capon Chapel United Methodist Church;built_in;1852
Capon Chapel United Methodist Church;phone_number;(304) 856-2483
Capon Chapel United Methodist Church;pastor;Pastor Alannah Mc Guinn
Capon Chapel United Methodist Church;sunday_service_time;10:00 AM, 11:00 AM
Capon Chapel United Methodist Church;address;1999 Fried Meat Ridge Road, Keyser, WV 26726
Capon Chapel United Methodist Church;latitude;39.2698239
Capon Chapel United Methodist Church;longitude;-78.4444521
Capon Chapel United Methodist Church;historic_significance;National Register of Historic Places, Civil War veterans, African Americans, War of 1812, Virginia House of Delegates, Mary Ann Caudy, Lemuel Nixon, Chapon Chapel, Capone Chapel Cemetery, 1869, Chain Bridge, William C. Nixon, 1789, Levels, WV, Jane Arnold, Kenya, cookbooks, Heather Rogers, Certified Lay Minister, Louise Link, John Wesley, Chris Leatherman, Sunday School, Worship Service, 304.492.5838, September 27, 2012, West Virginia Archives and History Commission, Archives and History, Historic Preservation, grants, markers, by-laws, Baptists, Methodist church, United Methodist Church, rural religious architecture, pews, 1857, cemetery, gravestones, 1834, community events, burials, WV 26711, ZIP Code, business name
Old Pine Church;located in;Lewisburg, West Virginia
Old Pine Church;is a;historic Presbyterian church
Old Pine Church;is also known as;Mill Church, Nicholas Church
Old Pine Church;was added to;National Register of Historic Places in 2012
Old Pine Church;features;original elements like pews from 1857
Old Pine Church;is used for;community events, burials
Old Pine Church;maintains;historical significance
Capon Chapel;located_in;Hampshire County, WV 26711
Capon Chapel;has_coordinates;Latitude, Longitude
Capon Chapel;is;place of worship, cultural feature, church, historic landmark, cultural landmark, significant landmark
Capon Chapel;provides;local area photos, nearby hotels, driving directions
Capon Chapel;is;significant historic landmark
