entity;surface
protectorate;protectorate, protectorates
dependent territory;dependent territory
local autonomy;local autonomy
sovereign state;greater sovereign state
suzerainty;suzerainty
colonies;colonies
local rulers;local rulers
limited immigration;limited immigration
favorable terms;favorable terms
microstates;microstates
foreign relations;foreign relations
protecting power;protecting power
defense;defense
British protectorates;British protectorates
Zanzibar;Zanzibar
Solomon Islands;Solomon Islands
France;France
Italy;Italy
United States;United States
insular areas;insular areas
Guam;Guam
Puerto Rico;Puerto Rico
Joint protectorates;Joint protectorates
Bosnia and Herzegovina;Bosnia and Herzegovina
