subject;predicate;object
Byzantine Empire;ruled;Eastern Europe
Byzantine Empire;ruled;Southern Europe
Emperor Constantine I;established;Constantinople
Emperor Constantine I;embraced;Christianity
Emperor Justinian I;belonged to;Justinian Dynasty
Emperor Justinian I;expanded;territory
Emperor Justinian I;implemented;reforms
Emperor Justinian I;implemented;Justinian Code
Byzantine Empire;split from;Catholic Church
Byzantine Empire;fought against;Muslims
Constantinople;fell to;Ottoman Empire
Byzantine art;focused on;religion
Latin;was;official language until 700 CE
Constantinople;was attacked during;Fourth Crusade
Byzantine Empire;had lasting impact on;Europe
Byzantine Empire;was formed after split of;Roman Empire
Emperor Constantine I;was;Emperor Constantine I
Constantinople;was;Constantinople
Christianity;was;Christianity
Justinian Dynasty;was;Justinian Dynasty
Emperor Justinian I;was;Emperor Justinian I
Justinian Code;was;Justinian Code
Catholic Church;was;Catholic Church
Muslims;were;Muslims
Mediterranean;was;eastern Mediterranean
Ottoman Empire;was;Ottoman Empire
Latin;was;Latin
Fourth Crusade;was;Fourth Crusade
Europe;was;Europe
