subject;predicate;object
Brougham Castle;located in;Penrith
Brougham Castle;has roots dating back to;a Roman fort
Brougham Castle;founded by;Norman family of Robert de Vieuxpont
Robert Clifford;enhanced;Brougham Castle
Lady Anne Clifford;restored;Brougham Castle
Lady Anne Clifford;fought for;40 years
Lady Anne Clifford;spent her life restoring;Brougham Castle
Lady Anne Clifford;spent her life restoring;churches in Penrith
Lady Anne Clifford;is known for;efforts in restoring Brougham Castle
Lady Anne Clifford;is known for;efforts in restoring other properties
Lady Anne Clifford;left;a lasting legacy in the area
