subject;predicate;object
Brazil;was under;Portuguese rule
Portuguese court;moved to;Rio de Janeiro
Portuguese court;moved to;escape Napoleon's troops
Portuguese court;moved to;escape
Portuguese court;moved to;avoid Napoleon's troops
Portuguese court;moved to;avoid
Portuguese court;led to;Brazil's elevation from a colony to a kingdom
king;wanted to return to;Europe
Brazilians;chose;to remain independent
royal family;had to decide between;declaring Brazil's independence or facing a Republican revolution
Orleans-Braganza branch;has been;more royalist
loyalty;may be shifting;Orleans-Braganza branch
