entity;surface
Borobudur Temple;Borobudur Temple, the temple
Buddhist monument;largest Buddhist monument
Java;Java
Indonesia;Indonesia
9th century;9th century
cement;cement
stone carvings;intricate stone carvings
Buddha statues;Buddha statues
bas-reliefs;bas-reliefs
Hindu;Hindu
Buddhist;Buddhist
UNESCO World Heritage site;UNESCO World Heritage site
pilgrimage destination;pilgrimage destination
architectural beauty;architectural beauty
spiritual ambiance;spiritual ambiance
sunrise;sunrise
travelers;travelers
cultural experience;cultural experience
