subject;predicate;object
James W. Marshall;discovered;gold
gold;attracted;gold-seekers
gold-seekers;came from;Mexico
gold-seekers;came from;Peru
gold-seekers;came from;Ireland
gold-seekers;came from;Germany
gold-seekers;came from;Belgium
gold-seekers;came from;China
influx of migrants;contributed to;development of the country
influx of migrants;contributed to;population growth
influx of migrants;contributed to;agricultural advancements
influx of migrants;contributed to;establishment of a government
California;admitted as;a state
Gold Rush;had;negative consequences
Gold Rush;caused;displacement of Native Americans
Gold Rush;caused;racial tensions
Gold Rush;caused;environmental issues
