subject;predicate;object
Joe Hesketh;draws inspiration from;Pendle Witch Trials
Joe Hesketh;aims to shed light on;injustice faced by the accused
Joe Hesketh;immerses himself in;story
Joe Hesketh;seeks to understand;trials' impact
Joe Hesketh;brings;a contemporary perspective to a dark chapter in history
Pendle;is the childhood home of;Joe Hesketh
Pendle;is the setting of;Pendle Witch Trials
accused;were misunderstood healers rather than evil magicians
trials;had an impact on;modern-day Pendle
cultural differences;are not always embraced in;modern-day Pendle
