entity;surface
Empire of Brazil;Empire of Brazil
independence;independence
1822;1822
First Reign;First Reign
Regency Period;Regency Period
Second Reign;Second Reign
conflicts;conflicts
abolition of slavery;abolition of slavery
Paraguayan War;Paraguayan War
economic cycles;economic cycles
coffee;coffee
rubber;rubber
monarchy;monarchy
laws restricting the slave trade;laws restricting the slave trade
economic crises;economic crises
military;military
political centralization;political centralization
international influences;international influences
