entity;surface
Brazilian President;former Brazilian President Lula da Silva
corruption scandal;corruption scandal
state oil company;state oil company Petrobras
investigation;investigation, Car Wash
Lula;Lula
funds;receiving funds
kickback scheme;kickback scheme
evidence;concrete evidence
political turmoil;political and economic turmoil
Brazil;Brazil
media;role of the media
judiciary;judiciary
political elites;political elites
public perception;shaping public perception
crisis;manipulating the crisis
own agendas;for their own agendas
geopolitical implications;broader geopolitical implications
situation;situation
Empire of Chaos;Empire of Chaos
BRICS nations;BRICS nations
