subject;predicate;object
Manhattan Project;involved;Oppenheimer
Manhattan Project;involved;Groves
Manhattan Project;involved;Bush
Manhattan Project;led to;testing of atomic bombs
Manhattan Project;led to;dropping of atomic bombs
Manhattan Project;marked beginning of;nuclear age
Manhattan Project;influenced development of;atomic weapons globally
Albert Einstein;warned;President Roosevelt
Albert Einstein;warned about;Nazis' potential to create powerful atomic bombs
President Roosevelt;was warned by;Albert Einstein
Nazis;had potential to create;powerful atomic bombs
atomic bombs;were dropped on;Hiroshima
atomic bombs;were dropped on;Nagasaki
atomic bombs;ended;WWII
