subject;predicate;object
Brough Castle;located in;Brough
Brough Castle;dating back to;1090
Brough Castle;built on;remains of Roman fort called Verteris
William Rufus;constructed;Brough Castle
Brough Castle;saw;various sieges
Brough Castle;experienced;changes of ownership
Clifford family;added;significant structures to Brough Castle
fire;left;Brough Castle in ruins
Lady Anne Clifford;initiated;restoration works
Brough Castle;fell into;disrepair
Ministry of Works;took over;Brough Castle in 1920
Brough Castle;maintained by;English Heritage
Brough Castle;open to;visitors
