subject;predicate;object
Brazilian Empire;led by;Dom Pedro I
Brazilian Empire;led by;Dom Pedro II
Brazilian Empire;expanded through;wars and interventions
Brazilian Empire;maintained;political stability
Brazilian Empire;maintained;economic growth
Brazilian Empire;maintained;democratic principles
Brazil;defeated;Portugal
Brazil;established;bicameral parliament
Dom Pedro II;brought;peace and stability
Brazil;emerged as;international power
Empire of Brazil;participated in;War of the Triple Alliance
Empire of Brazil;abolished;slavery in 1888
monarchy;ended in;1889
monarchy;ended with;Proclamation of the Republic
