subject;predicate;object
castles;constructed from;stone
castles;had;moats
castles;had;drawbridges
castles;had;baileys
castles;built on;mountains
castles;built near;water bodies
castles;built on;hilltops
castles;had;arrow slits
castles;had;iron doors
castles;provided protection from;enemies
castles;played a crucial role in;defending lands
castles;played a crucial role in;hosting feasts
castles;decline;advancements in weaponry, particularly gunpowder
castles;remain;popular tourist attractions
castles;were symbols of;power and prestige
castles;remain;iconic structures
