entity;surface
Buddha statue;Buddha statue
Borobudur Temple Compounds;Borobudur Temple Compounds
Indonesia;Indonesia
8th and 9th centuries;8th and 9th centuries
circular platform;circular platform
hand gestures;mudras
Buddhist teachings;Buddhist teachings
temple compounds;temple compounds
Buddhist cosmology;Buddhist cosmology
world of formlessness;world of formlessness
symbolism;symbolism
context;context
messages;messages
wisdom;wisdom
method;method
faith;faith
enlightenment;enlightenment
Buddhist culture;Buddhist culture
