entity;surface
Borobudur Temple Compounds;Borobudur Temple Compounds
central Java;central Java
Indonesia;Indonesia
Buddhist monument;Buddhist monument
8th and 9th centuries;8th, 9th centuries
Buddhist cosmology;Buddhist cosmology
three tiers;three tiers
Borobudur Temple;Borobudur Temple
two smaller temples;two smaller temples
Nirvana;Nirvana
authenticity;authenticity
restoration efforts;restoration efforts
development;development
tourism pressure;tourism pressure
natural disasters;natural disasters
volcanic eruptions;volcanic eruptions
protection;protection
management;management
Indonesian cultural heritage laws;Indonesian cultural heritage laws
conservation;conservation
sustainable tourism;sustainable tourism
