entity;surface
Lent;Lent
Egypt;Egypt, Aegyptus, country
Israelites;Israelites
sin;sin
desert;desert
God;God
Roman province of Egypt;Egypt, Aegyptus
Augustus;Augustus
Mark Anthony;Mark Anthony
Cleopatra;Cleopatra
Alexandria;Alexandria
hierarchy;hierarchy
governor;governor
Romans;Romans
Social hierarchy;Social hierarchy
citizenship;citizenship
Rome;Rome
Christianity;Christianity
Roman Empire;Roman Empire
Byzantine Empire;Byzantine Empire
Greek;Greek
Ptolemy I Soter;Ptolemy I Soter, Ptolemy
Macedonian;Macedonian
Alexander the Great;Alexander the Great
pharaoh;pharaoh
Great Library of Alexandria;Great Library of Alexandria
Euclid;Euclid
Nile River;Nile River, the Nile
ancient Egypt;ancient Egypt, Egyptians
civilization;civilization
Egyptians;Egyptians
empire;empire
agricultural practices;agricultural practices
monumental structures;monumental structures, Great Pyramids
cycles;cycles
Egyptian beliefs;Egyptian beliefs
life;life
death;death
afterlife;afterlife
religious practices;religious practices
rituals;rituals
central deity;central deity
source of water;source of water
fertility;fertility
trade;trade
transportation;transportation
calendar;calendar
annual flooding;annual flooding
collapse of ancient Egypt;collapse of ancient Egypt
legacy of the Nile;legacy of the Nile
prosperity;prosperity
Nile River;Nile River, the Nile
ancient Egypt;ancient Egypt, Egyptians
civilization;civilization
desert;desert
Egyptians;Egyptians
empire;empire
agricultural practices;agricultural practices
monumental structures;monumental structures, Great Pyramids
cycles;cycles
Egyptian beliefs;Egyptian beliefs
life;life
death;death
afterlife;afterlife
religious practices;religious practices
rituals;rituals
central deity;central deity
source of water;source of water
fertility;fertility
trade;trade
transportation;transportation
calendar;calendar
annual flooding;annual flooding
collapse of ancient Egypt;collapse of ancient Egypt
legacy of the Nile;legacy of the Nile
prosperity;prosperity
Egypt;Egypt, country
Nile;Nile
Mediterranean;Mediterranean
Red Seas;Red Seas
Cairo;Cairo
Pharaonic;Pharaonic
Islamic;Islamic
Coptic;Coptic
European-style architecture;European-style architecture
Tour Egypt;Tour Egypt
Ancient Egypt;Ancient Egypt
Nile River;Nile River
Pharaohs;Pharaohs
pyramids;pyramids
Romans;Romans
Ancient Egyptians;Ancient Egyptians
makeup;makeup
calendar;calendar
toothpaste;toothpaste
Bible;Bible
cats;cats
Sightseers: A guide to Egypt in the time of the Pharaohs;Sightseers: A guide to Egypt in the time of the Pharaohs
Late Period of Ancient Egypt;Late Period
Ancient Egypt;Ancient Egypt
Egyptian;Egyptian
Third Intermediate Period;Third Intermediate Period
Persian;Persian, Persians
Twenty-Sixth Dynasty;Twenty-Sixth Dynasty
Saite Period;Saite Period
First Persian Occupation;First Persian Occupation
Twenty-Seventh Dynasty;Twenty-Seventh Dynasty
Twenty-Eighth Dynasty;Twenty-Eighth Dynasty
Thirtieth Dynasty;Thirtieth Dynasty
Amyrtaeus;King Amyrtaeus
Thirty-First Dynasty;Thirty-First Dynasty
Achaemenid Dynasty;Achaemenid Dynasty
Second Persian Occupation;Second Persian Occupation
Third Intermediate Period;The Third Intermediate Period
Egypt;Egypt
Smendes;Smendes
Ramesses XI;Ramesses XI
Dynasty 21;Dynasty 21
Tanis;Tanis
Thebes;Thebes
Dynasty 22;Dynasty 22
Dynasty 23;Dynasty 23
Libyan;Libyan
Nubian;Nubian
Art;Art
Culture;Culture
Temple precincts;temple precincts
Bronze statuary;bronze statuary
Burial practices;burial practices
King;king
Divine lineage;divine lineage
Artistic forms;artistic forms
Cultural developments;cultural developments
Upper Egypt;Upper Egypt
Lower Egypt;Lower Egypt
ancient Egyptian history;ancient Egyptian history
two kingdoms;two kingdoms
distinct rulers;distinct rulers
symbols;symbols
north;north
south;south
single pharaoh;single pharaoh
2686 BCE;2686 BCE
unified culture;unified culture
religious beliefs;religious beliefs
hawk-god Horus;hawk-god Horus
Ancient Egypt;Ancient Egypt
Nile River;Nile River
Upper Egypt;Upper Egypt
Lower Egypt;Lower Egypt
Pharaonic Age;Pharaonic Age
Egyptians;Egyptians
Nile;Nile
Old Kingdom;Old Kingdom
Middle Kingdom;Middle Kingdom
Egyptian civilization;Egyptian civilization
New Kingdom;New Kingdom
Akhenaten;Akhenaten
Late Period;Late Period
Persian;Persian
Ramesside Period;Ramesside Period
prosperity;prosperity
stability;stability
kings;kings
family;family
reformation;reformation
Amen cult;Amen cult
statues;statues
Amarna Period;Amarna Period
traditional beliefs;traditional beliefs
Rameses II;Rameses II
royal tombs;royal tombs
customs;customs
elaborate tombs;elaborate tombs
royal family;royal family
queens;queens
Nefertari;Nefertari
importance;importance
afterlife;afterlife
Scenes;Scenes
kinship;kinship
value;value
life;life
earth;earth
Workers;Workers
Deir el-Medina;Deir el-Medina
activities;activities
thoughts;thoughts
insight;insight
culture;culture
Ancient Egypt;Ancient Egypt
Nile River;Nile River
Egyptians;Egyptians, young Egyptians
sun deities;sun deities
land deities;land deities
mummification process;mummification process
Pyramids;Pyramids
Old Kingdom;Old Kingdom
Middle Kingdom;Middle Kingdom
New Kingdom;New Kingdom
Pharaoh;Pharaoh
slaves;slaves
Marriage;Marriage
Hieroglyphics;Hieroglyphics
hieratic script;hieratic script
mathematics;mathematics
Ancient Egypt;Ancient Egypt
Old Kingdom;Old Kingdom
Middle Kingdom;Middle Kingdom
New Kingdom;New Kingdom
Western traditions;Western traditions
Zoser;Zoser
pyramids;first pyramids
Middle Kingdom;Middle Kingdom
Osiris;Osiris
jewelry;intricate jewelry
New Kingdom;New Kingdom
Valley of the Kings;Valley of the Kings
Akhenaton;Akhenaton
monotheism;monotheism
ancient Egypt;ancient Egypt
modern beliefs;modern beliefs
culture;culture
Ancient Egypt;Ancient Egypt
Nile River;Nile River
Egyptians;Egyptians, young Egyptians
sun deities;sun deities
land deities;land deities
mummification process;mummification process
Pyramids;Pyramids
Old Kingdom;Old Kingdom
Middle Kingdom;Middle Kingdom
New Kingdom;New Kingdom
Pharaoh;Pharaoh
slaves;slaves
Marriage;Marriage
Hieroglyphics;Hieroglyphics
hieratic script;hieratic script
mathematics;mathematics
