subject;predicate;object
Byzantine-Sassanid War;involved;Byzantine Empire
Byzantine-Sassanid War;began with;Khosrau II
Byzantine-Sassanid War;involved;Sassanid Empire
Khosrau II;sought revenge for;Emperor Maurice
Sassanid Empire;had;early successes
Byzantine Empire;saw;rebellions
Emperor Heraclius;led;successful campaigns
Emperor Heraclius;faced;challenges
Emperor Heraclius;defeated;Sassanids
Emperor Heraclius;secured;peace
Khosrau II;was overthrown by;Heraclius
Heraclius;returned to;Constantinople
