subject;predicate;object
Constantine the Great;rebuilt;Byzantium
Constantine the Great;legalized;Christianity
Justinian;reunited;Roman Empire
Justinian;created;Justinian's Code
Justinian;built;Hagia Sophia
Byzantine Empire;thrived due to;trade and cultural influences
Byzantine Empire;led to;development of a new society
Byzantine emperors;held;political and religious power
Christianity;was central to;Byzantine life
Christianity;reflected in;art and devotion
split;led to;formation of Eastern Orthodox Church
split;dividing;Europe
