subject;predicate;object
Third Intermediate Period;began with;Smendes
Third Intermediate Period;divided into;three stages
Third Intermediate Period;saw a shift from;Dynasty 21 to Dynasty 22
Dynasty 22;ruled by;Libyan descendants
era;witnessed the rise of;Dynasty 23
era;witnessed fragmentation of power in;Egypt
Nubia;led to;Nubian rule in Egypt
temple network;became crucial for;politics and art
temple network;included;innovative bronze statuary and elaborate burial practices
period;saw the emergence of;royal themes in art and architecture
birth house;celebrating;the king as a divine child
