subject;predicate;object
Late Period of Ancient Egypt;marked;decline of Egyptian power
Late Period of Ancient Egypt;includes;Twenty-Sixth Dynasty
Twenty-Sixth Dynasty;known as;Saite Period
Twenty-Sixth Dynasty;during;First Persian Occupation
Twenty-Eighth to Thirtieth Dynasties;saw;rebellion by Amyrtaeus against the Persians
Thirtieth Dynasty's defeat;led to;re-occupation
Thirty-First Dynasty;experienced;Second Persian Occupation
References;include;Roberto B. Gozzoli
References;include;Alan B. Lloyd
References;include;Stephen Quirke
