subject;predicate;object
Byzantine Empire;ruled;Eastern Europe
Byzantine Empire;ruled;Southern Europe
Emperor Constantine I;established;Constantinople
Emperor Constantine I;embraced;Christianity
Emperor Justinian I;belonged to;Justinian Dynasty
Emperor Justinian I;expanded;territory
Emperor Justinian I;implemented;reforms
Emperor Justinian I;implemented;Justinian Code
Byzantine Empire;split from;Catholic Church
Byzantine Empire;fought against;Muslims
Constantinople;fell to;Ottoman Empire
Byzantine art;focused on;religion
Latin;was;official language until 700 CE
Constantinople;was attacked during;Fourth Crusade
Byzantine Empire;had lasting impact on;Europe
Byzantine Empire;was formed after split of;Roman Empire
Macedonian Dynasty;brought about;Byzantine Renaissance
Macedonian Dynasty;expanded;territories
Macedonian Dynasty;conquered;Crete
Macedonian Dynasty;conquered;Cyprus
Macedonian Dynasty;conquered;Syria
nobles;led to;instability
nobles;weakened;authority
Bulgarians;converted to;Orthodox Christianity
Serbs;converted to;Orthodox Christianity
Rus';converted to;Orthodox Christianity
Byzantine Empire;centered on;Constantinople
Byzantine Empire;reached its height under;Macedonian emperors
Byzantine Empire;fell to;Ottoman Empire
Byzantine Empire;notable achievements include;codification of Roman law under Justinian
Byzantine Empire;notable achievements include;construction of Hagia Sophia
Byzantine culture;influenced by;Hellenization
Byzantine culture;influenced by;theocracy
Byzantine Empire;played a key role in passing on;classical culture to Renaissance Italy and Europe
Justinian;associated with;Justinian Code
Emperor Justinian I;reigned;527 to 565 CE
Emperor Justinian I;born in;482 CE
