subject;predicate;object
President Andrew Jackson;opposed;South Carolina's defiance
new governor;appointed;Buenos Aires
Kirtland Temple;construction began
Otto;became;King of Greece
desecration;led to;revolt
mutiny;occurred in;Vietnam
British;exercised sovereignty over;Falkland Islands
massive earthquake;occurred in;Sumatra
U.S. President;took;first train ride
Admiral Charles Napier;achieved victory in;naval battle
Convention of 1833;took place in;Mexican Texas
Chilean Constitution;was promulgated
Slavery Abolition Act;was passed in;British Empire
UK;claimed sovereignty over;Falkland Islands
Oberlin College;was founded in;Ohio
Mexico City;allowed;Texas colonists
Federalists;allowed;Texas colonists to live undisturbed
Centralists;came to power
Centralists;caused;tensions
Fredonian Rebellion;highlighted
Mier y Teran investigation;highlighted
Law of April 6, 1830;highlighted
conflict;occurred at Anahuac
Turtle Bayou Resolutions;highlighted
Battle of Velasco;highlighted
Conventions of 1832 and 1833;highlighted
Stephen F. Austin;made;efforts
Stephen F. Austin;sought;changes for Texas in Mexico City
Stephen F. Austin;imprisoned
Stephen F. Austin;released
reforms;began;in the region
David Crockett;born in;1800s
Sam Houston;born in;1800s
Antonio López de Santa Anna;born in;1800s
Mexico;gained independence from;Spain
Stephen F. Austin;involved in;Texas Revolution
George Fisher;involved in;Texas Revolution
Texas Revolution;led to;Texas declaring independence
Texas Revolution;led to;fall of the Alamo
Sam Houston;was born in;Texas
Sam Houston;was associated with;Cherokee Indians
Sam Houston;served in;military
Sam Houston;was the first president of;Republic of Texas
Sam Houston;opposed;secession
Sam Houston;is celebrated through;monuments and exhibitions
monuments and exhibitions;are located near;Huntsville, Texas
Convention of 1833;took place in;San Felipe
Convention of 1833;had focus on;drafting a constitution
Stephen F. Austin;chosen to deliver;petitions
Stephen F. Austin;was imprisoned without charges;Austin
Austin;imprisoned;charges
Austin;returned to;Texas
Austin;returned just before;Texas Revolution
San Felipe de Austin;founded by;Stephen F. Austin
San Felipe de Austin;played a crucial role in;Texas history
San Felipe de Austin;hosting;Conventions of 1832 and 1833
San Felipe de Austin;hosting;Consultation of 1835
San Felipe de Austin;led to;Texas Declaration of Independence
Stephen F. Austin;founded;San Felipe de Austin
Stephen F. Austin;preserves;town's history
Stephen F. Austin State Park;includes;a replica of Austin's cabin
Stephen F. Austin State Park;includes;a museum
Convention of 1833;aimed to address;various issues
Convention of 1833;held in;San Felipe
Convention of 1833;adjourned on;April 13
Delegates;included;Sam Houston
Delegates;petitioned for;statehood
Delegates;presented;constitution
Sam Houston;attended;Convention of 1833
Sam Houston;petitioned for;statehood
Sam Houston;presented;constitution
Stephen F. Austin;traveled to;Mexico
Stephen F. Austin;presented;petitions
Stephen F. Austin;traveled alone to;Mexico
Long Expedition;aimed to conquer;Texas
Long Expedition;declaring;Texas an independent Republic
Long Expedition;driven back by;Spanish troops
Subsequent events;included;Mexican control
Subsequent events;included;the Law of April 6, 1830
Subsequent events;included;the Battle of Velasco
Subsequent events;included;the Convention of 1836
Convention of 1836;led to;Declaration of Independence
Declaration of Independence;followed by;Battle of the Alamo
Declaration of Independence;followed by;Massacre at Goliad
Declaration of Independence;followed by;Battle of San Jacinto
Battle of San Jacinto;resulted in;Texas winning independence
Battle of San Jacinto;resulted in;the birth of the Republic of Texas
Convention of 1832;adopted resolutions;organization of a militia
Convention of 1833;petitioned for;separation of Coahuila and Texas
Convention of 1833;prepared;constitution for the state of Texas
Stephen F. Austin;presented;memorial
memorial;outlined virtues of;new state organization and constitution
Mexico;imposed restrictions;land ownership
Mexico;confirmed;land acquisition
Stephen F. Austin;sold land;settlers
Mexico;led to;tensions
Santa Anna's rise;caused;unrest in Texas
Alamo;became;a symbol of resistance
battle;resulted in;Mexican victory
Santa Anna's measures;led to;Texas Declaration of Independence
Sam Houston's forces;defeated;Santa Anna
Battle of San Jacinto;led to;Santa Anna's capture
Texas;gained recognition;as an independent state
Jim Bowie;signed;promissory note
Heritage Auctions' Texana Grand Format Auction;took place in;Dallas
promissory note;was sold for;$62,500
auction;featured;historical documents
historical documents;related to;Texas history
items;signed by;Sam Houston
items;signed by;Davy Crockett
items;signed by;William Barret Travis
auction;realized a total of;$587,701
auction;included;a historic broadside by Sam Houston
auction;included;a map of Texas from 1867
event;attracted;nearly 400 bidders
bidders;eager to own;pieces of Texas history
Texas history;influenced;state's creation
State of Coahuila y Tejas;established;constitutional tradition
State of Coahuila y Tejas;influenced;by U.S. and Spanish constitutions
state constitution of 1827;combined;Texas with Coahuila
state constitution of 1827;reflecting;Spanish legal traditions
state constitution of 1827;included;Catholicism as the state religion
state constitution of 1827;introduced;homestead exemption from bankruptcy
homestead exemption;provides;stability for frontier families
constitution;addressed;important needs of the time
San Felipe de Austin;founded in;1824
Stephen F. Austin;served as capital of;San Felipe de Austin
San Felipe de Austin;played role in;early Texas history
San Felipe de Austin;had;growing population
San Felipe de Austin;had;important institutions
San Felipe de Austin;was;hub for trade and communication
San Felipe de Austin;had;diverse population
San Felipe de Austin;was;burned during the Runaway Scrape in 1836
San Felipe de Austin;lost status as;county seat
San Felipe de Austin;is preserved as;historical site
San Felipe de Austin;commemorates role in;Texas history
San Felipe de Austin;served as;colonial capital
Conventions of 1832 and 1833;led by;Stephen F. Austin
Conventions of 1832 and 1833;addressed;grievances
Conventions of 1832 and 1833;proposed changes to;Mexican government
Stephen F. Austin;imprisoned in;1834
imprisonment;fueled support for;independent Texas
San Felipe de Austin;established;provisional state government
Texian Consultations;organized by;colonists in Texas
Texian Consultations;address;grievances and concerns
first Consultation;focused on;repealing laws restricting immigration and reducing tariffs
delegates;presented;memorials to the government
second Consultation;saw debates on;statehood within Mexico or independence
second Consultation;resulted in;proposed constitution and petitions for statehood and tariff relief
Mexican government;showed;little response
efforts;made by;Stephen F. Austin
Mexican government;leading to;further calls for action and preparation for potential conflict
James "Jim" Bowie;was a prominent figure in;Texas Revolution
James "Jim" Bowie;known for;his role in the Battle of the Alamo
James "Jim" Bowie;known for;the famous "Bowie knife"
James "Jim" Bowie;Born in;Kentucky
James "Jim" Bowie;gained fame for;his frontier spirit and fighting skills
James "Jim" Bowie;becoming;a colorful folk hero in Texas history
James "Jim" Bowie;death at;the Alamo
James "Jim" Bowie;solidified;his hero status
James "Jim" Bowie;reflects;the American dream
James "Jim" Bowie;pursued;success at any cost
James "Jim" Bowie;embodies;the push to the West
