entity;surface
Byzantine Empire;Byzantine Empire, the Byzantine Empire
Greek-speaking continuation of the Roman Empire;Greek-speaking continuation of the Roman Empire
Roman Empire;Roman Empire, the Roman Empire
Ottoman Turks;Ottoman Turks, the Ottoman Turks
1453;1453
Greek culture;Greek culture
Orthodox Christianity;Orthodox Christianity
Justinian I;Justinian I
Constantinople;Constantinople, Fall of Constantinople
east and west;east and west
Islam;Islam
Iconoclasm movement;Iconoclasm movement
Crusades;Crusades
Ottomans;Ottomans
