subject;predicate;object
Brougham Castle;located in;Cumbria, England
Brougham Castle;built in;13th century
Brougham Castle;features;keep
Brougham Castle;features;hall
Brougham Castle;features;lord's chamber
Lady Anne;stayed in;lord's chamber
Lady Anne;passed away in;lord's chamber
Brougham Castle;overlooks;River Eamont
Brougham Castle;offers;panoramic views
Brougham Castle;constructed by;Robert de Vieuxpont
Brougham Castle;came under ownership of;Clifford family
Brougham Castle;damaged by;Scots
Brougham Castle;fell into disrepair during;English Civil War
Lady Anne Clifford;restored;Brougham Castle
Lady Anne Clifford;restored in;1643
Lady Anne Clifford;death in;1676
Brougham Castle;left to ruin under ownership of;Earls of Thanet
Brougham Castle;under care of;English Heritage
Brougham Castle;open to;public
Brough Castle;located in;Brough
Brough Castle;dating back to;1090
Brough Castle;built on;remains of Roman fort called Verteris
William Rufus;constructed;Brough Castle
castle;defend against;Scots
Clifford family;added;significant structures to Brough Castle
fire;left;Brough Castle in ruins
Lady Anne Clifford;initiated;restoration works
Ministry of Works;taken over;Brough Castle
Brough Castle;maintained by;English Heritage
Visitors;explore;Brough Castle
location;accessible by;road, train, bus
Robert Clifford;added;great tower and stone curtain wall
Brougham Castle;played role in;Anglo-Scottish wars
Brougham Castle;played role in;Wars of the Roses
Brougham Castle;inherited by;Lady Anne Clifford
Lady Anne Clifford;called home;Brougham Castle
visitors;explore;site
visitors;view;carved stones
Brougham Castle;located near;hotels
Brougham Castle;located near;guesthouses
Brougham Castle;located near;bed and breakfasts
Robert de Vieuxpont;built;Brougham Castle
Robert Clifford;added;new gatehouse complex
Robert Clifford;added;domestic buildings
Robert Clifford;added;stone curtain wall
Scots;captured and sacked;Brougham Castle
Brougham Castle;managed by;English Heritage
Brougham Castle;built in;1214
Robert de Vieuxpont;built;Brougham Castle
Robert Clifford;added;great tower and stone curtain wall
Brougham Castle;played role in;Anglo-Scottish wars
Brougham Castle;played role in;Wars of the Roses
Brougham Castle;inherited by;Lady Anne Clifford
Lady Anne Clifford;called home;Brougham Castle
visitors;explore;site
visitors;view;carved stones
Brougham Castle;located near;hotels
Brougham Castle;located near;guesthouses
Brougham Castle;located near;bed and breakfasts
