entity;surface
Texian Consultations;Texian Consultations
San Felipe;San Felipe
1832;1832
1833;1833
Texas;Texas
Mexican government;Mexican government
Consultation;Consultation
laws restricting immigration;laws restricting immigration
tariffs;tariffs
delegates;delegates
memorials;memorials
government;government
statehood;statehood
Mexico;Mexico
independence;independence
proposed constitution;proposed constitution
petitions;petitions
tariff relief;tariff relief
Stephen F. Austin;Stephen F. Austin
figures;figures
response;response
calls for action;calls for action
preparation;preparation
conflict;conflict
