entity;surface
Mexico;Mexico
Texas;Texas
1823-1833;1823 to 1833
Federalists;Federalists
Mexico City;Mexico City
Texas colonists;Texas colonists
Centralists;Centralists
Fredonian Rebellion;Fredonian Rebellion
Mier y Teran investigation;Mier y Teran investigation
Law of April 6, 1830;Law of April 6, 1830
Anahuac;Anahuac
Turtle Bayou Resolutions;Turtle Bayou Resolutions
Battle of Velasco;Battle of Velasco
Conventions of 1832 and 1833;Conventions of 1832 and 1833
Stephen F. Austin;Stephen F. Austin
Mexico City;Mexico City
imprisonment;imprisonment
reforms;reforms
