entity;surface
1833;1833
President Andrew Jackson;President Andrew Jackson, Andrew Jackson
South Carolina;South Carolina
Buenos Aires;Buenos Aires
Kirtland Temple;Kirtland Temple
Otto;Otto
King of Greece;King of Greece
grave;grave
Vietnam;Vietnam
British;British
Falkland Islands;Falkland Islands
Sumatra;Sumatra
train ride;train ride
U.S. President;U.S. President
Admiral Charles Napier;Admiral Charles Napier, Charles Napier
naval battle;naval battle
Convention of 1833;Convention of 1833
Mexican Texas;Mexican Texas
Chilean Constitution;Chilean Constitution
Slavery Abolition Act;Slavery Abolition Act
British Empire;British Empire
UK;UK
Oberlin College;Oberlin College
Ohio;Ohio
