entity;surface
castles;famous castles, castles, these structures
European history;European history
warfare;warfare
culture;culture
medieval fortifications;medieval fortifications
9th century;9th century
elaborate and fashionable castles;elaborate and fashionable castles
19th century;19th century
history;history
advances in technology;advances in technology
Neuschwanstein;Neuschwanstein
Germany;Germany
Windsor Castle;Windsor Castle
England;England
medieval architecture;medieval architecture
artists;artists
defensive castle construction;defensive castle construction
17th and 18th centuries;17th and 18th centuries
high-class residences;high-class residences
changing times;changing times
legacy of castles;legacy of castles
modern culture;modern culture
heritage;heritage
