subject;predicate;object
Washington-Centerville Public Library;showcasing;rare facsimile edition of the Book of Kells
Book of Kells;displayed;for visitors
Book of Kells;is;a renowned 9th-century illuminated manuscript
Book of Kells;mirroring;tradition at Trinity College in Dublin
initiative;allows;people
people;delve into;history and beauty of exceptional work
Book of Kells;is a;masterpiece of western calligraphy and illuminated manuscript
Book of Kells;is from;medieval Europe
Book of Kells;features;expert calligraphy
Book of Kells;features;rare colors
Book of Kells;features;embellishments
Book of Kells;published by;Thames & Hudson
Book of Kells;celebrated as;a work of Celtic art
Book of Kells;celebrated as;Ireland's national treasure
Thames & Hudson;known for;high-quality books on various subjects
Thames & Hudson;published;the set of three notebooks
set of three notebooks;pays tribute to;the artistry of the Book of Kells
set of three notebooks;features;expert calligraphy
set of three notebooks;features;rare colors
set of three notebooks;features;embellishments
Book of Kells;housed at;Trinity College
Book of Kells;created by;Celtic monks
Book of Kells;contains;four Gospels of the New Testament
Book of Kells;features;illustrations of humans, animals, and mythical creatures
Book of Kells;written on;calf vellum
Book of Kells;written with;iron gall ink
Book of Kells;attracts;over 500,000 visitors annually
Trinity College;located in;Dublin
Book of Kells;created in;800 AD
Book of Kells;features;Christian symbolism
Trinity College;houses;Book of Kells
Trinity College;offers;self-guided tour
Trinity College;includes;Long Room
Long Room;contains;200,000 ancient books
Long Room;displays;exhibit on Bram Stoker's Dracula
Book of Kells;is known for;intricate knotwork patterns
Book of Kells;is known for;vibrant colors
Book of Kells;is known for;angular runic font
Book of Kells;is created by;Columban monks
Book of Kells;is made from;calfskin vellum
Book of Kells;is adorned with;wide array of colors
Book of Kells;is displayed at;Trinity College Library
Book of Kells;required;meticulous craftsmanship
Book of Kells;required;diverse range of dyes
Book of Kells;showcases;beauty and complexity of Celtic art
Book of Kells;originated in;Iona
Book of Kells;later moved to;Kells
Canadians;live in;igloos
Book of Kells;dates back to;around 800 AD
Book of Kells;discusses;theory
seventh-century illuminators;used;stereoscopic images
eighth-century illuminators;used;stereoscopic images
illuminators;used;stereoscopic images
artists;used;technique
artists;achieve;microscopic detail
designs;compared to;others
manuscripts;from;same period
Tomm Moore;discusses;inspiration behind "The Secret of Kells"
Tomm Moore;blending;various artistic styles in the film
Tomm Moore;discusses;importance of visual storytelling
Tomm Moore;development of;character Aisling
Tomm Moore;talks about;influence of the blogosphere on the movie business
Tomm Moore;favorite;animated films
Tomm Moore;shares details about;his next feature, "Song of the Sea"
Tomm Moore;offers advice to;aspiring animators
Book of Kells;created by;Irish monks
Book of Kells;contains;the four Gospels of the New Testament
Book of Kells;housed at;Trinity College Dublin Library
Book of Kells;showcases;Hiberno-Saxon style
Book of Kells;is;a prime example of medieval Christian art
Book of Kells;linked to;monasteries in Iona and Kells
Trinity College Dublin Library;is;housed at Trinity College Dublin Library
Trinity College Dublin Library;showcases;the Hiberno-Saxon style
Trinity College Dublin Library;is;a prime example of medieval Christian art
Trinity College Dublin Library;contains;the Book of Kells
