subject;predicate;object
Bruce Castle;is located in;Tottenham, London
Bruce Castle;has history dating back to;16th century
Bruce Castle;was originally owned by;Sir William Compton
Bruce Castle;was modified by;Lord Coleraine
Bruce Castle;was modified by;Rowland Hill
Bruce Castle;opened as;a museum in 1906
Bruce Castle;showcases;the history of the London Borough of Haringey
Bruce Castle;houses;its archives
Bruce Castle Park;opened in;1892
Bruce Castle Park;is;Haringey's oldest park
Bruce Castle Park;has been enjoyed by;generations of residents
Bruce Castle Park;remains;a popular spot for various activities
