entity;surface
Jacobean architecture;Jacobean architecture
King James I;King James I
Charles I;Charles I
England;England
Flemish;Flemish
French;French
Italian Renaissance;Italian Renaissance
Flemish Mannerism;Flemish Mannerism
Orders;Orders
emblems;emblems
heraldic devices;heraldic devices
Dutch gables;Dutch gables
Gothic;Gothic
mullioned windows;mullioned windows
Hatfield House;Hatfield House
Bramshill;Bramshill
Audley End;Audley End
Inigo Jones;Inigo Jones
Italian;Italian
Jacobean Revival;Jacobean Revival
Queen Anne style;Queen Anne style
19th century;19th century
hybrid architecture;hybrid architecture
