entity;surface
Edward la Zouche;Edward la Zouche
11th Baron Zouche;11th Baron Zouche
English diplomat;English diplomat
Mary, Queen of Scots;Mary, Queen of Scots
stag-hunt mishap;stag-hunt mishap
Archbishop of Canterbury;Archbishop of Canterbury
first wife;first wife
Zouche;Zouche
Ambassador to Scotland;Ambassador to Scotland
Lord Warden of the Cinque Ports;Lord Warden of the Cinque Ports
New World;New World
horticulture;horticulture
1625;1625
succession dispute;succession dispute
America;America
Mayflower;Mayflower
