entity;surface
Gold Country;The Gold Country
California;California
Downieville;Downieville
Millertown Lake;Millertown Lake
gold mines;gold mines
historic sites;historic sites
California Gold Rush era;California Gold Rush era
recreational opportunities;recreational opportunities
white water rafting;white water rafting
hiking;hiking
towns;towns
landmarks;landmarks
Native American tribes;Native American tribes
artifacts;artifacts
Gold Rush;Gold Rush
development;development
rolling hills;rolling hills
pine forests;pine forests
rivers;rivers
lakes;lakes
Italy;Italy
Spain;Spain
vineyards;vineyards
wine production;wine production
Summers;Summers
winters;winters
snowfall;snowfall
higher elevations;higher elevations
