subject;predicate;object
concentric castles;are characterized by;having two or more concentric curtain walls
outer wall;is lower than;inner one
one wall;can protect;other
castles;were designed to withstand;advances in siege technology
castles;have features such as;projecting towers for flanking fire
castles;have features such as;platforms for trebuchets
layout of concentric castles;varied based on;terrain
layout of concentric castles;varied based on;shapes
castles;were typically associated with;powerful military orders or kings
design;allowed for;active defense
design;included features like;intramural towers
design;included features like;arrow slits
design;included features like;strengthened gates
concept of concentric castles;influenced;later fortifications
fortifications;were built by;Edward I in Wales
concept of concentric castles;was seen in;fortified cities like Constantinople
