subject;predicate;object
City & Country;acquired;Bramshill House
Bramshill House;is located in;Britain
Bramshill House;is;a Jacobean Prodigy House
Bramshill House;was built in;17th Century
Bramshill House;is set within;a Grade II Listed park
Bramshill House;has;state rooms
Bramshill House;has;banquet halls
Bramshill House;has;chapels
City & Country;plans to invest in;restoring Bramshill House
City & Country;showcases;expertise in preserving heritage assets
experts;praised;the acquisition of Bramshill House
experts;see;the acquisition as a positive step towards reviving and extending the life of Bramshill House
