entity;surface
Byzantine Empire;Byzantine Empire, Byzantium, the Byzantine Empire
Roman Empire;Roman Empire, the Roman Empire
Constantinople;Constantinople
Macedonian emperors;Macedonian emperors
Ottoman Turks;Ottoman Turks, the Ottoman Turks
1453;1453
Greek culture;Greek culture
Orthodox Christianity;Orthodox Christianity
Justinian I;Justinian I
Constantinople;Constantinople, Fall of Constantinople
east and west;east and west
Islam;Islam
Iconoclasm movement;Iconoclasm movement
Crusades;Crusades
Ottomans;Ottomans
Manuel Komnenos;Manuel Komnenos
Komnenian restoration;Komnenian restoration
Anatolia;Anatolia
Seljuk Turks;Seljuk Turks
Komnenian emperors;Komnenian emperors
Asia Minor;Asia Minor
theme system;theme system
Byzantium;Byzantium
Constantinople;Constantinople, New Rome, Istanbul
Byzantium;Byzantium
Eastern Roman Empire;Eastern Roman Empire
Rome;Rome
Emperor Constantine;Emperor Constantine
4th century;early 4th century
Theodosian walls;Theodosian walls
7 hills;7 hills
Various forums;Various forums
Byzantine-Sassanid War;Byzantine-Sassanid War
Sassanid Empire;Sassanid
Khosrau II;Khosrau II
Emperor Maurice;Emperor Maurice
Heraclius;Emperor Heraclius, Heraclius
Constantinople;Constantinople, New Rome, Istanbul
Byzantium;Byzantium
Eastern Roman Empire;Eastern Roman Empire
Rome;Rome
Emperor Constantine;Emperor Constantine
4th century;early 4th century
Theodosian walls;Theodosian walls
7 hills;7 hills
Various forums;Various forums
Byzantine-Sassanid War;Byzantine-Sassanid War
Sassanid Empire;Sassanid
Khosrau II;Khosrau II
Emperor Maurice;Emperor Maurice
Heraclius;Emperor Heraclius, Heraclius
Constantinople;Constantinople, New Rome, Istanbul
1453;1453
Constantinople;Constantinople
Sultan Mehmed II;Sultan Mehmed II
Ottoman Turks;Ottoman Turks
Byzantine;Byzantine
Turkish;Turkish
Turks;Turks
Islamic;Islamic
Istanbul;Istanbul
Emperor Justinian I;Emperor Justinian I, Justinian, Justinian's
482 CE;482 CE
Africa;Africa
Italy;Italy
Hagia Sophia;Hagia Sophia
Codex Iustinianus;Codex Iustinianus
Justin I;Justin I
Goths;Goths
Gothic War;Gothic War
Justinianic Plague;Justinianic Plague
Procopius;Procopius
Balkans;Balkans
500AD to 1000AD;500AD, 1000AD
Dark Ages;Dark Ages
Early Middle Ages;Early Middle Ages
Byzantine Empire;Byzantine Empire
barbarian tribes;Bulgars, Slavs, Avars
military tactics;military tactics
strategies;strategies
conflicts;conflicts
alliances;alliances
territorial changes;territorial changes
kingdoms;Bulgaria, Serbia, Croatia
cavalry;cavalry
infantry;infantry
Byzantine Empire;Byzantine Empire
Bulgarian Empire;Bulgarian Empire
Serbian Empires;Serbian Empires
Turks;Turks
Anatolia;Anatolia
Catholicism;Catholicism
Orthodox;Orthodox
Constantinople;Constantinople
Ottoman Turks;Ottoman Turks
1453;1453
Ottoman Empire;Ottoman Empire
Constantine the Great;Constantine the Great
Roman Emperor;Roman Emperor
Byzantium;Byzantium
Nova Roma;Nova Roma
Christianity;Christianity
Edict of Milan;Edict of Milan
Justinian;Justinian
Roman Empire;Roman Empire
Justinian's Code;Justinian's Code
Hagia Sophia;Hagia Sophia
Byzantine Empire;Byzantine Empire
Eastern Orthodox Church;Eastern Orthodox Church
Europe;Europe
Late Antiquity;Late Antiquity
350 to 600;350, 600
Byzantine Empire;Byzantine Empire
empire;empire
Byzantine strength;Byzantine strength
intellectual life;intellectual life
science;science
medicine;medicine
Christian church;Christian church
leadership;leadership
church;church
Christian monasticism;Christian monasticism
Christian ideas;Christian ideas
practices;practices
missionaries;missionaries
conversion;conversion
migrating peoples;migrating peoples
Germanic kingdoms;Germanic kingdoms
Anglo-Saxon England;Anglo-Saxon England
barbarian society;barbarian society
Christianity;Christianity
monasticism;monasticism
societal structures;societal structures
Germanic tribes;Germanic tribes
Constantinople;Constantinople
1453;1453
gunpowder;gunpowder
warfare;warfare
fortress defenses;traditional fortress defenses
Muslim conquest;Muslim conquest
eastern Christendom;eastern Christendom
doctrinal integrity;doctrinal integrity
Greek scholars;Greek scholars
Italy;Italy
Renaissance;Renaissance
power struggles;power struggles
empires;empires
southeastern Europe;southeastern Europe
repercussions;repercussions
event;event
relationships;relationships
nations;nations
course of history;course of history
region;region
