subject;predicate;object
Napoleon;led to;transfer of the Portuguese royal family to Brazil in 1807
Portuguese Empire;decline during;Napoleonic Wars
Dom Pedro;played a role in;declaring Brazil's independence from Portugal in 1822
Brazil;had movements for independence in;late 18th century
Brazil;was colonized in;early colonization
Brazilian Independence;took place in;1822
Dom Pedro I;ruled;Empire of Brazil
Dom Pedro II;ruled;Empire of Brazil
Paraguayan War;had impact on;Empire of Brazil
coffee and rubber cycles;affected;Empire of Brazil
immigration;contributed to;Empire of Brazil
slavery laws;led to;dissatisfaction
economic crises;contributed to;end of the monarchy
military strengthening;contributed to;end of the monarchy
political centralization;contributed to;end of the monarchy
international influences;contributed to;end of the monarchy
Brazilian Empire;led by;Dom Pedro I
Brazilian Empire;led by;Dom Pedro II
Brazilian Empire;expanded through;wars and interventions
Brazilian Empire;maintained;political stability
Brazilian Empire;maintained;economic growth
Brazilian Empire;maintained;democratic principles
Brazil;defeated;Portugal
Brazil;established;bicameral parliament
Dom Pedro II;brought;peace and stability
Brazil;emerged as;international power
Empire of Brazil;participated in;War of the Triple Alliance
Empire of Brazil;abolished;slavery in 1888
monarchy;ended in;1889
Peter I;was declared emperor of;Brazil
Pedro I;played crucial role;shaping Brazil's history in the 19th century
Pedro II;played crucial role;shaping Brazil's history in the 19th century
Napoleon's conquests;led to;Portuguese royal court fleeing to Rio de Janeiro in 1808
Dom João VI's stay in Brazil;brought;European-style institutions to the city
Pedro I;declaration of independence from;Portugal in 1822
Pedro I;emphasizing;Brazil's independence and unique history
Debret's artwork;captures;the grandeur of the events
King João VI and Emperor Pedro I's portraits;reflect;their political positions
Debret's depictions of Rio de Janeiro;offer insights into;the city's economy and social structure
Princess Leopoldine's arrival;showcases;the monarchy's importance and the support it received from Brazilian elites
Lula da Silva;implicated in;Car Wash
Lula da Silva;received funds from;kickback scheme
Car Wash;implicated;Lula da Silva
Car Wash;involves;Petrobras
Brazil;experiencing;political and economic turmoil
Brazil;facing;challenges
Brazil;interconnected with;global power struggles
media;plays role in;shaping public perception
media;manipulating;crisis
judiciary;manipulating;crisis
political elites;manipulating;crisis
Empire of Chaos;has interests in;Brazil's resources
Brazil's resources;include;pre-salt oil deposits
Lula's potential return to power;could bring about;a new dynamic in Brazilian politics
challenges;facing;the country
Pedro I;established;1824 Constitution
U.S. model;influenced;1891 Constitution
1934 Constitution;emphasized;social law elements
1937 Constitution;was under;Vargas
1946 Constitution;was;democratic
1967 Constitution;was under;military regime
1969 Constitution;was under;military regime
1988 Constitution;known for;democratic principles and stability
Brazilian law;reflects shifts in;power dynamics
monarchy;transition to;republic
authoritarianism;transition to;democracy
centralized governance;transition to;decentralized governance
Brazil;includes;periods as an empire and a federal republic
Brazil;has;significant political and economic developments
Brazil;colonized by;Portuguese
Brazil;independence in;early 19th century
Brazil;involved in;wars
Brazil;part of;BRIC countries
Brazil;has;white and mulatto populations
Brazil;issued;its first stamps in 1843
Brazil;played a role in;development of aviation-related postal services
Airlines;issued;stamps for air services
Zeppelin mail;involved;special flights
Zeppelin mail;issued;stamps
Zeppelin mail;issued by;Luftschiffbau Zeppelin company
Brazilian Independence;influenced by;economic factors
Brazilian Independence;influenced by;political factors
Brazilian Independence;influenced by;social factors
Brazilian Independence;marked by;challenges
Brazilian Independence;shaped by;economic structures
Brazilian Independence;marked by;conflicts
Brazilian Independence;marked by;external pressures
Brazilian Independence;influenced by;Britain
Brazilian Independence;established by;Brazil
Brazilian Independence;established by;Portugal
Brazilian Independence;established by;Napoleon
Brazilian Independence;influenced by;Portuguese royal family
Brazilian Independence;influenced by;monarchy
Brazilian Independence;influenced by;external powers
Brazilian Independence;influenced by;slavery
Brazilian Independence;influenced by;role of the monarchy
Brazilian Independence;influenced by;influence of external powers
Brazilian Independence;influenced by;impact of slavery
Brazilian Independence;influenced by;economic crises
Brazilian Independence;influenced by;military strengthening
Brazilian Independence;influenced by;political centralization
Brazilian Independence;influenced by;international influences
Brazilian Independence;portrayed as;gradual process
Brazilian Independence;portrayed as;multifaceted process
Brazilian Independence;portrayed as;marked by internal conflicts
Brazilian Independence;portrayed as;marked by external pressures
Portuguese court;moved to;Rio de Janeiro
Portuguese court;escaped from;Napoleon's troops
Portuguese court;led to;Brazil's elevation
Brazil;remained independent from;king
son;declared independence of;Brazil
son;kept under;Orleans-Braganza royal family
Portuguese branch;is more royalist than;Orleans-Braganza royal family
attitudes;may be shifting towards;Portuguese branch
King Dom João VI;arrived in;1808
King Dom João VI;was part of;United Kingdom of Portugal
Portugal;had;Constitutional Revolution
Constitutional Revolution;led to;demands for the king's return
Portuguese court;tried to subdue;Brazil
Cortes;tried to subdue;Brazil
Dom Pedro;declared;Brazil's independence
Dom Pedro;became;Emperor Dom Pedro I
