subject;predicate;object
Roman province of Egypt;established in;30 BC
Roman province of Egypt;governed by;hierarchy
Roman province of Egypt;had capital;Alexandria
Augustus;defeated;Mark Anthony
Augustus;defeated;Cleopatra
province;divided into;small provinces
Romans;developed;tax system
Social hierarchy;introduced in;Egypt
citizenship;could be obtained through;military service
Egypt;was source of;food for Rome
trade;flourished in;1st and 2nd centuries
Christianity;spread in;Egypt
Alexandria;became;major center
Egypt;became part of;Byzantine Empire
Egypt;had dominant language;Greek
