subject;predicate;object
Ancient Egypt;thrived for;almost 30 centuries
Ancient Egypt;captivated;historians and archaeologists
Ancient Egypt;had;majestic pyramids
Ancient Egypt;had;rich religious traditions
Ancient Egypt;had;beautiful art
Predynastic Period;saw;gradual development of Egyptian civilization
Archaic Period;laid;foundations of society and kingship
Old Kingdom;was known for;pyramid builders and prosperity
Old Kingdom;was followed by;First Intermediate Period
Middle Kingdom;flourished under;aggressive foreign policy and pyramid-building
Middle Kingdom;was marked by;division and foreign rule
New Kingdom;saw;Egypt reunite
New Kingdom;established;an empire
New Kingdom;featured;powerful rulers like Hatshepsut and Akhenaton
Third Intermediate Period;brought;changes in politics and society
Third Intermediate Period;saw;local rulers gaining autonomy
Late Period;witnessed;Persian rule, rebellions, and a brief period of independence
Late Period;led to;centuries of Roman rule and the eventual introduction of Christianity and Islam to Egypt
