subject;predicate;object
Britain;developing;nuclear weapons
Britain;began with;MAUD Committee
MAUD Committee;led to;breakthroughs
Britain;continued through;WWII
British scientists;contributing to;Manhattan Project
Prime Minister Attlee;established;secret committee
secret committee;develop;atomic policy
physicist William Penney;heading;Britain's atomic bomb program
British nuclear test;took place in;1952
British nuclear test;off the coast of;Australia
British nuclear test;marked;a significant milestone
Hurricane;codenamed;Hurricane
Hurricane;took place in;1952
Hurricane;off the coast of;Australia
Hurricane;marked;a significant milestone
