entity;surface
castles;castles
England;England
locations;locations
ownership;ownership
historical background;historical background
current status;current status
motte and bailey earthworks;motte and bailey earthworks
medieval fortresses;medieval fortresses
construction;construction
historical significance;historical significance
Norman conquests;Norman conquests
Tudor;Tudor
Victorian eras;Victorian eras
architectural styles;architectural styles
historical contexts;historical contexts
structures;structures
