subject;predicate;object
President Andrew Jackson;opposing;South Carolina
Juan Ramón Balcarce;ousted;Buenos Aires
Kirtland Temple;laying of cornerstones;Kirtland Temple
Otto;becoming;modern King of Greece
Vietnam;desecration leading to;revolt
Falkland Islands;British reassertion of sovereignty;Falkland Islands
Sumatra;massive earthquake in;Sumatra
Andrew Jackson;riding;train
Australian aboriginal warrior Yagan;death of;Australian aboriginal warrior Yagan
Admiral Charles Napier;victory at;Battle of Cape St. Vincent
Convention of 1833;took place in;Mexican Texas
Chilean Constitution;promulgation of;Chilean Constitution
Slavery Abolition Act;took place in;British Empire
UK;claiming sovereignty over;Falkland Islands
Oberlin College;founding of;Ohio
Texas colonists;tensions between;Mexican authorities
Texas colonists;highlighted conflicts arising from;changes in power in Mexico City
Fredonian Rebellion;occurred in;1823
Mier y Teran investigation;occurred in;1833
Law of April 6, 1830;affected;Texas colonists
Anahuac conflict;involved;Texas colonists
Turtle Bayou Resolutions;related to;Texas colonists
Battle of Velasco;involved;Texas colonists
Conventions of 1832 and 1833;discussed in;the presentation
Stephen F. Austin;made efforts to secure;Texas statehood
Stephen F. Austin;experienced;imprisonment
reforms;started in;the region
David Crockett;born;1800s
Sam Houston;born;1800s
Antonio López de Santa Anna;born;1800s
Mexico;gain independence from;Spain
George Fisher;involved in;actions
Gonzales;location of;battles
Goliad;location of;battles
Alamo;location of;battles
Texas Declaration of Independence;signed by;Texas colonists
Battle of San Jacinto;secured independence for;Texas
Republic of Texas;signed;Treaties of Velasco
Sam Houston;was born in;Huntsville, Texas
Sam Houston;was involved in;Texas Revolution
Sam Houston;was the first president of;Republic of Texas
Sam Houston;opposed;secession
Sam Houston;was removed from office for;refusing to pledge loyalty to the Confederacy
Sam Houston;died in;1863
Convention of 1833;took place in;San Felipe
Convention of 1833;had;more aggressive approach
Convention of 1833;had;quarter of the delegates from the previous gathering
William H. Wharton;presided over;Convention of 1833
Sam Houston;emerged as;new leader
main agenda;remained;similar
main agenda;included;drafting a constitution
constitution;to be presented to;Mexican congress
Stephen F. Austin;was imprisoned without charges;later
Stephen F. Austin;returned to;Texas
Stephen F. Austin;returned just before;Texas Revolution
San Felipe de Austin;founded by;Stephen F. Austin
San Felipe de Austin;played a crucial role in;Texas history
San Felipe de Austin;hosting;significant events like the Conventions of 1832 and 1833 and the Consultation of 1835
